"","iso_code","country","year","co2","consumption_co2","co2_growth_prct","co2_growth_abs","trade_co2","co2_per_capita","consumption_co2_per_capita","share_global_co2","cumulative_co2","share_global_cumulative_co2","co2_per_gdp","consumption_co2_per_gdp","co2_per_unit_energy","coal_co2","cement_co2","flaring_co2","gas_co2","oil_co2","other_industry_co2","cement_co2_per_capita","coal_co2_per_capita","flaring_co2_per_capita","gas_co2_per_capita","oil_co2_per_capita","other_co2_per_capita","trade_co2_share","share_global_cement_co2","share_global_coal_co2","share_global_flaring_co2","share_global_gas_co2","share_global_oil_co2","share_global_other_co2","cumulative_cement_co2","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_oil_co2","cumulative_other_co2","share_global_cumulative_cement_co2","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","total_ghg","ghg_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","population","gdp","primary_energy_consumption","energy_per_capita","energy_per_gdp","Region","Subregion","Notes","Country code","Type","Parent code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"11","AUS","Australia",2019,411.016,NA,-1.19,-4.938,NA,16.308,NA,1.13,18181.941,1.1,NA,NA,0.231,163.627,2.942,17.267,81.216,142.064,3.899,0.117,6.492,0.685,3.222,5.637,0.155,NA,0.19,1.14,4.02,1.07,1.15,3.39,188.446,10037.628,271.377,1991.765,5586.805,105.92,0.45,1.3,1.59,0.84,0.96,2.97,NA,NA,NA,NA,NA,NA,25203200,NA,1780.442,70644.033,NA,"Oceania","AUSTRALIA/NEW ZEALAND",18,36,"Country/Area",927,8177.348,8398.224,8595.064,8782.177,8970.121,9165.7,9371.781,9587.459,9808.595,10028.799,10242.07,10445.836,10643.42,10845.179,11065.419,11313.186,11593.402,11899.644,12215.704,12518.931,12793.03,13033.13,13244.163,13431.79,13605.574,13773.29,13935.722,14092.545,14249.403,14413.002,14588.4,14777.241,14979.203,15194.644,15423.156,15663.672,15917.58,16183.159,16452.258,16713.989,16960.6,17189.235,17402.179,17603.211,17798.526,17993.083,18189.274,18387.205,18587.027,18788.187,18991.434,19194.676,19401.366,19624.163,19879.654,20178.543,20526.3,20916.339,21332.293,21750.852,22154.687,22538.002,22903.951,23254.912,23596.426,23932.499,24262.71,24584.619,24898.153,25203.2,25499.881
"12","AUT","Austria",2019,68.495,NA,2.66,1.775,NA,7.649,NA,0.19,5445.99,0.33,NA,NA,0.164,12.943,1.827,0.127,17.506,34.915,1.178,0.204,1.445,0.014,1.955,3.899,0.132,NA,0.12,0.09,0.03,0.23,0.28,1.02,136.147,2720.085,4.554,704.958,1847.33,32.916,0.33,0.35,0.03,0.3,0.32,0.92,NA,NA,NA,NA,NA,NA,8955108,NA,416.622,46523.958,NA,"Europe","EUROPE",NA,40,"Country/Area",926,6936.442,6931.346,6931.194,6935.149,6942.617,6953.404,6967.624,6985.724,7008.415,7036.554,7070.773,7111.139,7156.836,7205.991,7256.091,7305.154,7352.239,7397.168,7439.581,7479.34,7516.238,7550.339,7581.12,7607.067,7626.29,7637.686,7640.755,7636.573,7627.762,7617.883,7609.75,7604.512,7602.177,7603.1,7607.296,7614.874,7625.395,7639.351,7658.856,7686.564,7723.954,7772.698,7830.938,7892.089,7947.215,7990.113,8017.852,8032.873,8041.054,8051.116,8069.276,8097.755,8134.403,8175.855,8216.81,8253.656,8285.345,8313.731,8341.525,8372.658,8409.945,8453.501,8502.23,8556.191,8615.205,8678.667,8747.306,8819.902,8891.383,8955.108,9006.4
"13","AZE","Azerbaijan",2019,39.82,NA,6.22,2.332,NA,3.963,NA,0.11,2594.756,0.16,NA,NA,0.219,0.004,0.726,2.426,23.2,13.465,NA,0.072,0,0.241,2.309,1.34,NA,NA,0.05,0,0.56,0.3,0.11,NA,33.903,26.289,48.926,1076.589,1409.05,NA,0.08,0,0.29,0.45,0.24,NA,NA,NA,NA,NA,NA,NA,10047719,NA,182.146,18127.566,NA,"Asia","NORTHERN AFRICA AND WESTERN ASIA",5,31,"Country/Area",922,2927.926,2987.264,3060.014,3142.813,3233.167,3329.373,3430.666,3537.022,3649.189,3768.336,3895.398,4030.325,4171.428,4315.127,4456.691,4592.601,4721.528,4843.872,4960.237,5071.93,5180.032,5284.518,5385.266,5483.088,5579.071,5674.129,5768.73,5863.138,5957.927,6053.635,6150.735,6249.312,6349.555,6452.067,6557.581,6666.447,6778.631,6893.486,7010.027,7126.877,7242.758,7357.945,7471.924,7581.754,7683.704,7775.418,7855.558,7925.668,7989.903,8054.126,8122.743,8197.295,8277.065,8361.433,8448.938,8538.61,8630.153,8724.237,8821.869,8924.383,9032.465,9146.277,9264.684,9385.467,9505.616,9622.741,9736.041,9845.316,9949.537,10047.719,10139.175
"14","BHS","Bahamas",2019,1.979,NA,-2.51,-0.051,NA,5.081,NA,0.01,163.973,0.01,NA,NA,NA,0.006,NA,NA,NA,1.973,NA,NA,0.016,NA,NA,5.066,NA,NA,NA,0,NA,NA,0.02,NA,NA,0.263,NA,NA,159.448,NA,NA,0,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,389486,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,44,"Country/Area",915,79.09,79.989,81.434,83.373,85.783,88.628,91.897,95.617,99.776,104.415,109.532,115.119,121.092,127.34,133.705,140.06,146.381,152.621,158.648,164.265,169.376,173.894,177.863,181.519,185.105,188.895,192.903,197.1,201.482,205.991,210.589,215.321,220.182,225.095,229.913,234.579,239.02,243.265,247.451,251.738,256.227,261.007,266.028,271.065,275.849,280.179,283.98,287.363,290.6,294.063,298.045,302.618,307.657,313.123,318.893,324.848,331.032,337.387,343.68,349.6,354.936,359.583,363.581,367.162,370.625,374.2,377.923,381.749,385.635,389.486,393.248
"15","BHR","Bahrain",2019,34.354,NA,8.74,2.76,NA,20.933,NA,0.09,891.64,0.05,NA,NA,NA,NA,0.488,NA,29.53,4.336,NA,0.297,NA,NA,17.993,2.642,NA,NA,0.03,NA,NA,0.39,0.04,NA,6.69,NA,NA,672.145,212.651,NA,0.02,NA,NA,0.28,0.04,NA,NA,NA,NA,NA,NA,NA,1641164,NA,NA,NA,NA,"Asia","NORTHERN AFRICA AND WESTERN ASIA",NA,48,"Country/Area",922,115.612,116.828,119.59,123.496,128.25,133.58,139.261,145.107,150.981,156.78,162.429,167.899,173.14,178.142,182.888,187.432,191.785,196.06,200.652,206.037,212.607,220.311,229.151,239.527,251.908,266.54,283.746,303.169,323.468,342.804,359.897,374.12,385.953,396.451,407.233,419.428,433.478,448.981,465.198,481.081,495.927,509.762,523.082,536.212,549.59,563.698,578.661,594.927,613.697,636.54,664.61,697.55,735.14,778.708,829.846,889.157,958.423,1035.924,1114.645,1185.075,1240.864,1278.153,1299.942,1315.029,1336.073,1371.853,1425.793,1494.077,1569.44,1641.164,1701.583
"16","BGD","Bangladesh",2019,102.162,NA,19.18,16.443,NA,0.627,NA,0.28,1478.845,0.09,NA,NA,0.209,11.528,0.797,NA,69.334,20.503,NA,0.005,0.071,NA,0.425,0.126,NA,NA,0.05,0.08,NA,0.91,0.17,NA,18.565,102.975,NA,921.528,435.778,NA,0.04,0.01,NA,0.39,0.08,NA,NA,NA,NA,NA,NA,NA,163046173,NA,488.385,2995.38,NA,"Asia","CENTRAL AND SOUTHERN ASIA",NA,50,"Country/Area",5501,37894.671,38706.399,39489.861,40292.411,41149.83,42086.305,43113.922,44233.217,45434.542,46700.569,48013.505,49362.834,50752.15,52202.008,53741.721,55385.114,57157.651,59034.25,60918.452,62679.765,64232.486,65531.635,66625.706,67637.541,68742.222,70066.31,71652.386,73463.593,75450.033,77529.04,79639.498,81767.516,83932.132,86142.49,88416.529,90764.18,93187.593,95671.159,98186.35,100695.496,103171.957,105599.125,107983.708,110350.641,112737.684,115169.933,117649.927,120160.571,122682.818,125189.655,127657.862,130088.709,132478.077,134791.598,136986.429,139035.505,140921.154,142660.381,144304.164,145924.795,147575.433,149273.134,151005.733,152761.413,154517.385,156256.287,157977.151,159685.421,161376.713,163046.173,164689.383
"17","BRB","Barbados",2019,1.187,NA,-1.7,-0.021,NA,4.134,NA,0,53.748,0,NA,NA,NA,NA,0.072,NA,0.046,1.069,NA,0.25,NA,NA,0.159,3.725,NA,NA,0,NA,NA,0,0.01,NA,3.576,NA,NA,1.658,48.424,NA,0.01,NA,NA,0,0.01,NA,NA,NA,NA,NA,NA,NA,287021,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,52,"Country/Area",915,210.99,215.724,219.669,222.854,225.324,227.132,228.406,229.27,229.883,230.402,230.985,231.718,232.623,233.632,234.588,235.415,236.084,236.661,237.241,237.963,238.895,240.093,241.523,243.076,244.643,246.158,247.584,248.931,250.2,251.347,252.388,253.296,254.078,254.791,255.493,256.26,257.117,258.012,258.97,259.961,260.933,261.912,262.89,263.869,264.893,265.955,267.047,268.183,269.334,270.455,271.511,272.494,273.423,274.331,275.283,276.32,277.475,278.701,279.946,281.107,282.131,282.987,283.698,284.294,284.825,285.327,285.798,286.229,286.64,287.021,287.371
"18","BLR","Belarus",2019,62.484,NA,0.99,0.612,NA,6.61,NA,0.17,5229.026,0.32,NA,NA,0.213,3.59,2.159,0.002,37.469,18.246,1.018,0.228,0.38,0,3.964,1.93,0.108,NA,0.14,0.02,0,0.49,0.15,0.88,79.234,545.392,10.195,1354.536,3188.017,51.652,0.19,0.07,0.06,0.57,0.55,1.45,NA,NA,NA,NA,NA,NA,9452409,NA,293.78,31081.284,NA,"Europe","EUROPE",NA,112,"Country/Area",923,7745.004,7698.813,7677.429,7679.688,7703.776,7747.215,7806.815,7878.768,7958.727,8042.109,8124.881,8204.344,8279.893,8353.294,8427.839,8505.724,8587.174,8670.567,8754.2,8835.743,8913.549,8987.034,9056.732,9123.451,9188.463,9252.78,9316.324,9378.923,9441.415,9504.864,9569.847,9636.152,9703.088,9770.125,9836.582,9901.493,9965.178,10026.47,10081.209,10124,10151.135,10160.785,10154.338,10135.133,10108.28,10077.606,10044.854,10009.393,9969.986,9924.44,9871.635,9811.399,9745.932,9679.235,9616.628,9562.083,9516.884,9480.514,9452.855,9433.159,9420.576,9415.316,9417.045,9423.502,9431.742,9439.424,9445.638,9450.233,9452.615,9452.409,9449.321
"19","BEL","Belgium",2019,99.709,NA,-0.5,-0.499,NA,8.641,NA,0.27,12459.585,0.75,NA,NA,0.132,13.243,2.534,0.121,37.269,44.486,2.055,0.22,1.148,0.01,3.23,3.855,0.178,NA,0.16,0.09,0.03,0.49,0.36,1.78,217.697,7513.062,3.132,1300.68,3352.488,72.526,0.52,0.97,0.02,0.55,0.58,2.03,NA,NA,NA,NA,NA,NA,11539326,NA,753.528,65302.717,NA,"Europe","EUROPE",NA,56,"Country/Area",926,8637.521,8680.176,8727.988,8779.267,8832.697,8887.275,8942.408,8997.845,9053.64,9110.067,9167.361,9225.414,9283.545,9340.419,9394.3,9443.948,9488.759,9529.046,9565.591,9599.651,9632.179,9663.323,9692.845,9720.75,9747.023,9771.582,9794.771,9816.693,9836.812,9854.372,9868.999,9880.594,9889.819,9897.877,9906.37,9916.577,9928.539,9942.281,9959.011,9980.175,10006.545,10039.45,10078.098,10118.684,10155.909,10186.304,10208.265,10223.785,10237.298,10255.161,10282.046,10319.026,10364.879,10419.029,10480.118,10546.885,10619.484,10697.576,10778.764,10859.934,10938.735,11013.86,11085.355,11154.008,11221.225,11287.931,11354.407,11419.752,11482.18,11539.326,11589.616
"20","BLZ","Belize",2019,0.633,NA,3.36,0.021,NA,1.621,NA,0,18.488,0,NA,NA,NA,NA,NA,NA,0,0.633,NA,NA,NA,NA,0,1.621,NA,NA,NA,NA,NA,0,0.01,NA,NA,NA,NA,0.048,18.44,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,390351,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,84,"Country/Area",916,68.915,71.239,73.43,75.551,77.688,79.867,82.134,84.508,86.952,89.486,92.068,94.7,97.392,100.165,103.069,106.12,109.348,112.707,116.065,119.269,122.184,124.795,127.152,129.294,131.305,133.264,135.143,136.99,138.975,141.302,144.142,147.572,151.486,155.82,160.341,164.918,169.569,174.333,179.023,183.471,187.554,191.136,194.324,197.625,201.679,206.962,213.66,221.575,230.248,238.979,247.31,255.068,262.387,269.428,276.516,283.798,291.338,299.031,306.822,314.655,322.465,330.236,338.001,345.707,353.366,360.926,368.399,375.775,383.071,390.351,397.621
