"","iso_code","country","year","co2","consumption_co2","co2_growth_prct","co2_growth_abs","trade_co2","co2_per_capita","consumption_co2_per_capita","share_global_co2","cumulative_co2","share_global_cumulative_co2","co2_per_gdp","consumption_co2_per_gdp","co2_per_unit_energy","coal_co2","cement_co2","flaring_co2","gas_co2","oil_co2","other_industry_co2","cement_co2_per_capita","coal_co2_per_capita","flaring_co2_per_capita","gas_co2_per_capita","oil_co2_per_capita","other_co2_per_capita","trade_co2_share","share_global_cement_co2","share_global_coal_co2","share_global_flaring_co2","share_global_gas_co2","share_global_oil_co2","share_global_other_co2","cumulative_cement_co2","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_oil_co2","cumulative_other_co2","share_global_cumulative_cement_co2","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","total_ghg","ghg_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","population","gdp","primary_energy_consumption","energy_per_capita","energy_per_gdp","Region","Subregion","Notes","Country code","Type","Parent code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"48","DJI","Djibouti",2019,0.399,NA,2.41,0.009,NA,0.41,NA,0,18.704,0,NA,NA,NA,NA,0.068,NA,NA,0.331,NA,0.07,NA,NA,NA,0.34,NA,NA,0,NA,NA,NA,0,NA,0.465,NA,NA,NA,18.24,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,973557,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,262,"Country/Area",910,62,63.313,64.744,66.273,67.884,69.593,71.494,73.699,76.352,79.615,83.634,88.503,94.203,100.618,107.582,114.976,122.876,131.405,140.462,149.889,159.662,169.372,179.237,190.569,205.18,224.177,248.556,277.472,308.008,336.08,358.96,374.934,385.268,393.8,406.018,425.608,454.359,490.337,528.993,563.855,590.393,606.843,615.05,618.504,622.364,630.385,643.649,660.858,680.465,699.973,717.577,733.019,746.947,759.639,771.599,783.248,794.554,805.456,816.361,827.82,840.194,853.671,868.136,883.296,898.707,913.998,929.117,944.1,958.923,973.557,988.002
"49","DMA","Dominica",2019,0.162,NA,-2.62,-0.004,NA,2.251,NA,0,4.677,0,NA,NA,NA,NA,NA,NA,NA,0.162,NA,NA,NA,NA,NA,2.251,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4.677,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,71808,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,212,"Country/Area",915,51.099,51.703,52.293,52.941,53.683,54.557,55.544,56.628,57.775,58.919,60.02,61.036,61.978,62.917,63.921,65.044,66.3,67.687,69.034,70.214,71.084,71.569,71.731,71.739,71.814,72.088,72.662,73.443,74.28,74.96,75.318,75.314,75.012,74.484,73.846,73.207,72.531,71.842,71.212,70.722,70.422,70.377,70.546,70.818,71.044,71.105,70.933,70.592,70.183,69.828,69.65,69.671,69.84,70.102,70.387,70.58,70.718,70.797,70.829,70.848,70.877,70.912,70.954,71.019,71.091,71.175,71.307,71.46,71.626,71.808,71.991
"50","DOM","Dominican Republic",2019,27.379,NA,8.19,2.074,NA,2.55,NA,0.08,726.848,0.04,NA,NA,NA,5.574,2.004,NA,3.039,16.762,NA,0.187,0.519,NA,0.283,1.561,NA,NA,0.13,0.04,NA,0.04,0.14,NA,49.087,50.972,NA,25.659,601.13,NA,0.12,0.01,NA,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,10738957,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,214,"Country/Area",915,2364.649,2438.635,2517.654,2601.343,2689.329,2781.338,2877.098,2976.418,3079.136,3185.11,3294.222,3406.282,3521.018,3638.11,3757.123,3877.768,3999.796,4123.1,4247.559,4373.127,4499.722,4627.202,4755.464,4884.46,5014.187,5144.632,5275.767,5407.496,5539.596,5671.801,5803.929,5935.895,6067.769,6199.657,6331.76,6464.229,6596.967,6729.93,6863.438,6997.877,7133.491,7270.413,7408.339,7546.467,7683.707,7819.239,7952.766,8084.407,8214.427,8343.288,8471.317,8598.599,8724.974,8850.317,8974.444,9097.262,9218.681,9338.856,9458.079,9576.736,9695.117,9813.219,9930.916,10048.226,10165.182,10281.675,10397.738,10513.111,10627.147,10738.957,10847.904
"51","ECU","Ecuador",2019,40.54,NA,-3.06,-1.278,NA,2.333,NA,0.11,1174.312,0.07,NA,NA,0.196,NA,2.209,1.202,1.181,35.948,NA,0.127,NA,0.069,0.068,2.069,NA,NA,0.14,NA,0.28,0.02,0.29,NA,63.904,NA,58.198,31.683,1020.526,NA,0.15,NA,0.34,0.01,0.18,NA,NA,NA,NA,NA,NA,NA,17373657,NA,206.745,11899.704,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,218,"Country/Area",931,3470.16,3561.078,3654.72,3751.599,3852.128,3956.625,4065.328,4178.344,4295.754,4417.539,4543.658,4674.176,4809.194,4948.991,5093.848,5243.98,5399.423,5560.013,5725.462,5895.368,6069.375,6247.421,6429.377,6614.84,6803.271,6994.331,7187.794,7383.713,7582.357,7784.074,7989.178,8197.648,8409.396,8624.594,8843.463,9066.1,9292.481,9522.362,9755.576,9991.87,10230.931,10472.476,10716.131,10961.46,11207.999,11455.205,11703.169,11951.457,12198.449,12442.109,12681.123,12914.66,13143.465,13369.678,13596.39,13825.839,14059.379,14296.554,14535.74,14774.412,15011.114,15243.885,15474.099,15707.473,15951.832,16212.022,16491.116,16785.356,17084.359,17373.657,17643.06
"52","EGY","Egypt",2019,246.643,NA,-1.92,-4.818,NA,2.457,NA,0.68,6142.564,0.37,NA,NA,0.228,2.291,20.79,NA,114.243,109.319,NA,0.207,0.023,NA,1.138,1.089,NA,NA,1.33,0.02,NA,1.5,0.88,NA,509.857,135.839,NA,1899.734,3576.928,NA,1.23,0.02,NA,0.8,0.62,NA,NA,NA,NA,NA,NA,NA,100388076,NA,1079.472,10753,NA,"Africa","NORTHERN AFRICA AND WESTERN ASIA",NA,818,"Country/Area",912,20451.988,20948.6,21473.792,22028.132,22611.502,23223.125,23861.509,24524.531,25209.459,25913.227,26632.891,27366.239,28112.258,28871.383,29644.875,30433.024,31237.597,32056.506,32881.852,33703.127,34513.851,35311.905,36102.67,36896.551,37708.144,38549.133,39422.731,40329.589,41275.728,42267.429,43309.063,44400.113,45539.295,46728.284,47968.643,49258.726,50602.36,51991.696,53399.243,54788.68,56134.478,57424.552,58666.812,59880.656,61095.804,62334.025,63601.632,64892.269,66200.259,67515.591,68831.561,70152.662,71485.044,72826.102,74172.073,75523.576,76873.67,78232.124,79636.081,81134.789,82761.244,84529.251,86422.24,88404.652,90424.668,92442.549,94447.071,96442.59,98423.602,100388.076,102334.403
"53","SLV","El Salvador",2019,6.207,NA,3.14,0.189,NA,0.962,NA,0.02,224.777,0.01,NA,NA,NA,NA,0.388,NA,NA,5.82,NA,0.06,NA,NA,NA,0.902,NA,NA,0.02,NA,NA,NA,0.05,NA,17.643,NA,NA,NA,207.083,NA,0.04,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,6453550,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,222,"Country/Area",916,2199.903,2237.778,2280.443,2327.374,2378.242,2432.877,2491.249,2553.506,2619.901,2690.747,2766.319,2846.601,2931.187,3019.224,3109.571,3201.31,3293.954,3387.384,3481.624,3576.834,3673.066,3770.06,3867.31,3964.273,4060.255,4154.689,4247.508,4338.451,4426.679,4511.127,4591.135,4666.361,4737.256,4804.936,4871.041,4936.803,5002.339,5067.531,5133.273,5200.608,5270.074,5342.19,5416.327,5490.478,5561.916,5628.602,5689.943,5746.288,5797.764,5844.834,5887.93,5927.001,5962.139,5994.075,6023.801,6052.124,6079.395,6105.81,6131.767,6157.678,6183.877,6210.567,6237.922,6266.076,6295.124,6325.121,6356.137,6388.124,6420.74,6453.55,6486.201
"54","GNQ","Equatorial Guinea",2019,5.634,NA,-4.61,-0.272,NA,4.155,NA,0.02,131.111,0.01,NA,NA,NA,NA,NA,1.521,2.875,1.238,NA,NA,NA,1.121,2.12,0.913,NA,NA,NA,NA,0.35,0.04,0.01,NA,NA,NA,33.822,71.802,25.486,NA,NA,NA,0.2,0.03,0,NA,NA,NA,NA,NA,NA,NA,1355982,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,226,"Country/Area",911,225.53,230.914,234.185,236.322,238.033,239.866,242.139,244.958,248.246,251.77,255.338,258.786,262.219,266.005,270.616,276.296,283.506,291.786,299.416,304,303.986,298.852,289.508,277.656,265.762,255.808,247.969,242.16,239.681,241.977,249.931,264.37,284.638,308.208,331.554,352.116,369.024,382.977,394.973,406.62,419.188,432.844,447.269,462.637,479.099,496.768,515.844,536.459,558.496,581.765,606.18,631.662,658.388,686.67,716.949,749.527,784.494,821.686,860.839,901.589,943.64,986.861,1031.191,1076.412,1122.273,1168.575,1215.181,1262.008,1308.966,1355.982,1402.985
"55","ERI","Eritrea",2019,0.727,NA,2.61,0.018,NA,0.208,NA,0,16.895,0,NA,NA,NA,NA,0.077,NA,NA,0.65,NA,0.022,NA,NA,NA,0.186,NA,NA,0,NA,NA,NA,0.01,NA,1.11,NA,NA,NA,15.784,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3497117,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,232,"Country/Area",910,822.347,835,849.258,864.893,881.761,899.746,918.849,939.085,960.538,983.337,1007.586,1033.32,1060.489,1088.859,1118.152,1148.188,1178.875,1210.304,1242.633,1276.122,1310.947,1347.18,1384.789,1423.749,1463.986,1505.438,1547.978,1591.622,1636.771,1683.932,1733.423,1784.557,1836.825,1890.556,1946.299,2003.942,2064.803,2127.421,2185.607,2231.144,2258.649,2266.356,2257.593,2238.631,2218.436,2204.227,2196.467,2195.192,2206.439,2237.412,2292.413,2374.721,2481.059,2600.972,2719.809,2826.653,2918.209,2996.54,3062.782,3119.92,3170.437,3213.969,3250.104,3281.453,3311.444,3342.818,3376.558,3412.894,3452.797,3497.117,3546.427
"56","EST","Estonia",2019,13.888,NA,-21.58,-3.823,NA,10.477,NA,0.04,1511.261,0.09,NA,NA,0.21,9.231,0.298,0,0.798,3.477,0.085,0.225,6.964,0,0.602,2.623,0.064,NA,0.02,0.06,0,0.01,0.03,0.07,21.868,1114.831,4.01,71.832,296.582,2.139,0.05,0.14,0.02,0.03,0.05,0.06,NA,NA,NA,NA,NA,NA,1325649,NA,66.301,50000.799,NA,"Europe","EUROPE",NA,233,"Country/Area",924,1100.997,1113.238,1125.237,1136.906,1148.213,1159.233,1170.091,1181.017,1192.257,1204.106,1216.82,1230.504,1245.083,1260.215,1275.44,1290.406,1304.984,1319.249,1333.174,1346.82,1360.206,1373.298,1386.074,1398.47,1410.467,1422.052,1433.173,1443.891,1454.266,1464.423,1474.438,1483.879,1492.64,1501.422,1511.193,1522.405,1536.034,1551.209,1564.2,1569.967,1565.246,1548.22,1520.811,1488.06,1457.09,1433.026,1417.741,1409.678,1406.35,1403.784,1399.111,1391.739,1382.737,1372.904,1363.57,1355.65,1349.373,1344.295,1340.067,1336.14,1332.103,1327.701,1323.163,1319.068,1316.273,1315.33,1316.507,1319.389,1322.913,1325.649,1326.539
"57","SWZ","Eswatini",2019,0.974,NA,-1.43,-0.014,NA,0.848,NA,0,40.291,0,NA,NA,NA,0.131,NA,NA,NA,0.843,NA,NA,0.114,NA,NA,0.734,NA,NA,NA,0,NA,NA,0.01,NA,NA,20.736,NA,NA,19.555,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1148133,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,748,"Country/Area",913,272.997,279.357,285.286,291.082,296.943,303.027,309.405,316.037,322.86,329.744,336.578,343.346,350.155,357.279,365.12,373.925,383.82,394.76,406.508,418.739,431.251,443.979,457.039,470.561,484.747,499.759,515.602,532.253,549.787,568.316,587.852,608.374,629.812,652.112,675.24,699.077,723.599,748.634,773.774,798.498,822.423,845.267,866.995,887.706,907.622,926.836,945.506,963.416,979.922,994.105,1005.432,1013.608,1019.054,1022.796,1026.287,1030.575,1036.095,1042.651,1049.948,1057.462,1064.841,1072.029,1079.285,1086.843,1095.022,1104.038,1113.994,1124.808,1136.274,1148.133,1160.164
"58","ETH","Ethiopia",2019,16.255,NA,0.43,0.07,NA,0.145,NA,0.04,244.265,0.01,NA,NA,NA,1.52,3.217,NA,NA,11.519,NA,0.029,0.014,NA,NA,0.103,NA,NA,0.21,0.01,NA,NA,0.09,NA,32.17,10.884,NA,NA,201.211,NA,0.08,0,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,112078727,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,231,"Country/Area",910,18128.03,18466.973,18819.701,19184.288,19560.012,19947.291,20347.81,20764.45,21201.028,21661.994,22151.284,22671.193,23221.385,23798.418,24397.01,25013.634,25641.04,26280.135,26944.386,27652.715,28415.08,29248.65,30140.799,31036.67,31861.353,32566.855,33128.151,33577.24,33993.301,34487.806,35141.703,35984.531,36995.246,38142.679,39374.346,40652.146,41965.696,43329.238,44757.205,46272.308,47887.864,49609.976,51423.591,53295.556,55180.993,57047.906,58883.531,60697.443,62507.724,64343.008,66224.809,68159.422,70142.09,72170.581,74239.508,76346.31,78489.205,80674.343,82916.236,85233.923,87639.962,90139.928,92726.982,95385.793,98094.264,100835.453,103603.461,106399.926,109224.41,112078.727,114963.583
"59","FJI","Fiji",2019,2.257,NA,6.28,0.133,NA,2.536,NA,0.01,52.532,0,NA,NA,NA,NA,0.084,NA,NA,2.173,NA,0.095,NA,NA,NA,2.442,NA,NA,0.01,NA,NA,NA,0.02,NA,2.444,NA,NA,NA,48.198,NA,0.01,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,889955,NA,NA,NA,NA,"Oceania","OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND)",NA,242,"Country/Area",928,288.994,296.25,304.883,314.452,324.583,335.096,345.869,356.939,368.426,380.564,393.48,407.244,421.673,436.303,450.538,463.96,476.399,487.973,498.944,509.708,520.561,531.622,542.843,554.143,565.418,576.626,587.561,598.299,609.383,621.584,635.312,651.032,668.281,685.497,700.478,711.77,718.642,721.776,722.924,724.602,728.575,735.398,744.47,754.962,765.607,775.428,784.389,792.736,800.148,806.302,811.011,813.923,815.257,816.078,817.864,821.606,827.869,836.185,845.356,853.636,859.816,863.451,865.065,865.602,866.447,868.632,872.406,877.46,883.49,889.955,896.444
"60","FIN","Finland",2019,41.653,NA,-9.15,-4.197,NA,7.529,NA,0.11,3150.923,0.19,NA,NA,0.137,14.93,0.602,0.091,4.38,20.98,0.669,0.109,2.699,0.016,0.792,3.792,0.121,NA,0.04,0.1,0.02,0.06,0.17,0.58,47.447,1233.574,2.565,236.71,1603.518,27.109,0.11,0.16,0.02,0.1,0.28,0.76,NA,NA,NA,NA,NA,NA,5532159,NA,304.913,55118.024,NA,"Europe","EUROPE",27,246,"Country/Area",924,4008.292,4050.488,4096.559,4144.309,4191.971,4238.274,4282.376,4323.916,4362.911,4399.668,4434.593,4467.763,4498.821,4526.738,4550.25,4568.604,4581.115,4588.66,4594.021,4601.033,4612.365,4629.371,4651.174,4675.45,4698.782,4718.744,4734.432,4746.929,4758.256,4771.341,4788.247,4809.807,4835.102,4862.171,4888.197,4911.22,4930.342,4946.368,4961.097,4977.118,4996.22,5019.134,5044.928,5071.782,5097.09,5119.012,5136.984,5151.74,5164.236,5175.921,5187.953,5200.475,5213.368,5227.106,5242.175,5258.933,5277.49,5297.741,5319.452,5342.266,5365.784,5390.036,5414.769,5438.984,5461.41,5481.128,5497.714,5511.372,5522.585,5532.159,5540.718
"61","FRA","France",2019,323.747,NA,-2.41,-7.978,NA,4.971,NA,0.89,38258.339,2.31,NA,NA,0.12,27.274,6.884,3.008,86.746,195.866,3.969,0.106,0.419,0.046,1.332,3.007,0.061,NA,0.44,0.19,0.7,1.14,1.59,3.45,705.11,18868.32,168.149,3504.325,14879.473,132.981,1.69,2.44,0.98,1.47,2.56,3.73,NA,NA,NA,NA,NA,NA,65129731,NA,2688.651,41281.299,NA,"Europe","EUROPE",33,250,"Country/Area",926,41833.873,42031.196,42315.598,42654.661,43024.817,43411.377,43808.997,44221.224,44659.052,45138.433,45673.147,46266.974,46907.043,47560.825,48184.414,48746.653,49232.536,49651.08,50024.587,50387.441,50763.921,51162.569,51573.268,51979.531,52356.793,52688.575,52969.314,53208.549,53423.112,53637.073,53868.006,54121.009,54391.469,54675.37,54965.167,55254.838,55545.271,55837.622,56126.337,56404.303,56666.861,56913.58,57147.213,57370.375,57587.122,57801.887,58012.055,58220.657,58444.245,58704.381,59015.092,59384.126,59803.434,60251.591,60697.977,61120.128,61508.924,61869.229,62209.207,62542.883,62879.535,63222.229,63564.224,63893.521,64193.55,64453.194,64667.59,64842.513,64990.512,65129.731,65273.512
"62","PYF","French Polynesia",2019,0.832,NA,6.54,0.051,NA,2.978,NA,0,27.814,0,NA,NA,NA,NA,NA,NA,NA,0.832,NA,NA,NA,NA,NA,2.978,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,27.814,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,279285,NA,NA,NA,NA,"Oceania","OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND)",2,258,"Country/Area",957,60.27,62.066,63.848,65.585,67.237,68.847,70.436,72.062,73.83,75.803,78.08,80.705,83.652,86.847,90.132,93.442,96.719,99.99,103.329,106.814,110.49,114.385,118.438,122.641,126.919,131.229,135.559,139.893,144.273,148.734,153.298,157.954,162.679,167.456,172.249,177.024,181.807,186.588,191.26,195.728,199.906,203.716,207.238,210.644,214.196,218.064,222.323,226.854,231.562,236.217,240.681,244.929,248.976,252.707,255.995,258.78,261.007,262.717,264.064,265.256,266.449,267.702,268.995,270.332,271.713,273.119,274.576,276.108,277.673,279.285,280.904
"63","GAB","Gabon",2019,4.705,NA,-2.04,-0.098,NA,2.166,NA,0.01,254.394,0.02,NA,NA,NA,NA,NA,1.48,0.665,2.56,NA,NA,NA,0.681,0.306,1.178,NA,NA,NA,NA,0.34,0.01,0.02,NA,NA,NA,129.322,18.047,103.833,NA,NA,NA,0.76,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,2172578,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,266,"Country/Area",911,473.296,476.381,478.655,480.536,482.332,484.308,486.64,489.439,492.758,496.591,500.922,505.793,511.285,517.573,524.891,533.357,543.119,554.054,565.763,577.644,589.317,600.608,611.705,622.914,634.739,647.538,661.398,676.264,692.078,708.788,726.335,744.695,763.932,784.056,805.117,827.107,850.052,873.871,898.472,923.714,949.493,975.785,1002.573,1029.769,1057.252,1084.951,1112.944,1141.332,1170.061,1199.058,1228.359,1258.008,1288.31,1319.946,1353.788,1390.55,1430.144,1472.565,1518.538,1568.925,1624.146,1684.629,1749.677,1817.07,1883.801,1947.69,2007.882,2064.812,2119.275,2172.578,2225.728
"64","GMB","Gambia",2019,0.586,NA,3.99,0.022,NA,0.25,NA,0,13.526,0,NA,NA,NA,NA,NA,NA,0.004,0.582,NA,NA,NA,NA,0.002,0.248,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.067,13.459,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2347696,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,270,"Country/Area",914,304.895,309.083,313.525,318.382,323.755,329.662,336.117,343.013,350.228,357.63,365.049,372.436,379.886,387.635,396.012,405.258,415.478,426.622,438.59,451.228,464.404,478.106,492.424,507.428,523.25,539.985,557.81,576.755,596.54,616.77,637.252,657.581,678.111,700.198,725.688,755.791,791.141,831.011,873.44,915.631,955.595,992.671,1027.476,1060.861,1094.219,1128.577,1164.091,1200.522,1238.124,1277.118,1317.708,1360.07,1404.263,1449.925,1496.524,1543.745,1591.444,1639.846,1689.288,1740.277,1793.199,1848.142,1905.02,1963.708,2024.037,2085.86,2149.134,2213.9,2280.092,2347.696,2416.664
"65","GEO","Georgia",2019,10.287,NA,4.3,0.425,NA,2.574,NA,0.03,1040.864,0.06,NA,NA,NA,1.456,0.69,NA,4.573,3.568,NA,0.173,0.364,NA,1.144,0.893,NA,NA,0.04,0.01,NA,0.06,0.03,NA,17.749,189.781,NA,247.77,582.988,NA,0.04,0.02,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,3996762,NA,NA,NA,NA,"Asia","NORTHERN AFRICA AND WESTERN ASIA",7,268,"Country/Area",922,3527.008,3555.878,3588.631,3625.614,3667.077,3713.129,3763.77,3818.856,3878.133,3941.249,4007.724,4077.079,4148.733,4222.157,4296.671,4371.527,4446.837,4521.715,4593.315,4658.009,4713.34,4758.161,4793.558,4822.168,4847.869,4873.638,4900.192,4927.251,4955.517,4985.591,5017.827,5051.116,5085.141,5121.801,5163.641,5211.454,5267.233,5327.496,5380.82,5411.983,5410.4,5372.996,5303.925,5208.954,5097.126,4976.252,4846.627,4709.596,4575.396,4456.652,4362.184,4296.981,4258.573,4238.93,4225.811,4210.158,4189.722,4166.86,4142.648,4119.49,4099.096,4081.012,4064.097,4048.701,4035.31,4024.18,4015.457,4008.723,4002.946,3996.762,3989.175
"66","DEU","Germany",2019,701.955,NA,-7.07,-53.407,NA,8.405,NA,1.93,91979.322,5.56,NA,NA,0.192,235.701,13.228,2.007,172.918,269.423,8.678,0.158,2.822,0.024,2.07,3.226,0.104,NA,0.85,1.64,0.47,2.27,2.18,7.54,1179.844,64234.223,89.929,6835.353,19362.759,278.891,2.84,8.32,0.53,2.88,3.33,7.82,NA,NA,NA,NA,NA,NA,83517046,NA,3649.975,43703.379,NA,"Europe","EUROPE",NA,276,"Country/Area",926,69966.252,70300.011,70620.275,70929.839,71233.393,71537.454,71850.645,72183.453,72547.581,72954.885,73414.229,73928.077,74489.45,75080.749,75677.305,76258.034,76819.57,77357.251,77847.179,78260.756,78578.381,78789.931,78901.826,78932.455,78909.808,78856.031,78781.74,78687.323,78573.588,78438.171,78283.101,78107.86,77926.016,77770.21,77682.293,77691.591,77806.136,78015.742,78307.525,78660.301,79053.984,79490.831,79963.166,80428.557,80832.928,81138.653,81323.666,81399.25,81402.671,81389.935,81400.883,81453.894,81535.124,81614.371,81646.474,81602.739,81472.235,81277.836,81065.751,80899.961,80827.001,80855.629,80972.629,81174.373,81450.37,81787.411,82193.77,82658.409,83124.413,83517.046,83783.945
"67","GHA","Ghana",2019,14.96,NA,3.31,0.48,NA,0.492,NA,0.04,351.234,0.02,NA,NA,NA,NA,1.55,NA,2.562,10.848,NA,0.051,NA,NA,0.084,0.357,NA,NA,0.1,NA,NA,0.03,0.09,NA,31.602,NA,NA,16.364,299.103,NA,0.08,NA,NA,0.01,0.05,NA,NA,NA,NA,NA,NA,NA,30417858,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,288,"Country/Area",914,5036.151,5140.319,5268.648,5413.371,5568.654,5730.592,5897.345,6068.997,6247.304,6435.16,6635.229,6848.291,7071.966,7300.124,7524.47,7739.463,7941.418,8132.803,8321.773,8520.018,8735.493,8973.247,9229.64,9493.552,9749.098,9985.946,10199.164,10395.453,10590.265,10805.318,11056.112,11348.287,11676.828,12033.559,12405.659,12783.617,13164.839,13552.021,13947.047,14353.409,14773.274,15207.36,15653.345,16106.756,16561.677,17014.058,17462.504,17908.977,18357.159,18812.369,19278.85,19756.929,20246.376,20750.308,21272.328,21814.648,22379.057,22963.946,23563.832,24170.943,24779.614,25387.713,25996.454,26607.641,27224.48,27849.203,28481.947,29121.464,29767.108,30417.858,31072.945
"68","GRC","Greece",2019,67.184,NA,-6.43,-4.614,NA,6.415,NA,0.18,4022.853,0.24,NA,NA,0.211,18.032,3.419,0.011,9.89,35.243,0.589,0.326,1.722,0.001,0.944,3.365,0.056,NA,0.22,0.13,0,0.13,0.29,0.51,276.691,1617.12,0.409,145.434,1958.716,24.484,0.67,0.21,0,0.06,0.34,0.69,NA,NA,NA,NA,NA,NA,10473452,NA,318.208,30383.697,NA,"Europe","EUROPE",NA,300,"Country/Area",925,7668.792,7742.937,7814.168,7882.596,7948.283,8011.132,8070.958,8127.479,8180.31,8229.113,8273.628,8314.009,8350.876,8385.443,8419.301,8453.819,8489.868,8528.026,8569.144,8614.035,8663.568,8716.87,8774.512,8840.311,8919.247,9014.091,9127.057,9254.979,9388.72,9515.743,9627.004,9719.839,9796.83,9860.734,9916.481,9968.233,10015.122,10057.292,10101.349,10155.721,10225.99,10315.109,10420.226,10533.811,10644.939,10745.502,10832.139,10906.248,10970.121,11027.899,11082.103,11134.447,11182.308,11218.879,11234.993,11224.8,11185.231,11120.371,11040.312,10959.268,10887.64,10829.074,10781.119,10740.501,10701.46,10659.737,10615.183,10569.449,10522.244,10473.452,10423.056
"69","GRL","Greenland",2019,0.519,NA,1.35,0.007,NA,9.154,NA,0,28.895,0,NA,NA,NA,NA,NA,NA,NA,0.519,NA,NA,NA,NA,NA,9.154,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,26.72,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,56660,NA,NA,NA,NA,"Northern America","NORTHERN AMERICA",26,304,"Country/Area",918,22.993,23.466,23.936,24.465,25.092,25.846,26.727,27.733,28.842,30.019,31.23,32.476,33.731,35.037,36.438,37.965,39.605,41.362,43.098,44.702,46.077,47.195,48.066,48.736,49.232,49.575,49.781,49.846,49.865,49.942,50.179,50.584,51.155,51.834,52.528,53.187,53.789,54.371,54.88,55.288,55.604,55.783,55.857,55.847,55.817,55.81,55.83,55.873,55.951,56.052,56.177,56.336,56.518,56.707,56.868,56.949,56.968,56.928,56.836,56.729,56.638,56.555,56.477,56.412,56.383,56.378,56.408,56.473,56.565,56.66,56.772
"70","GRD","Grenada",2019,0.288,NA,3.36,0.009,NA,2.571,NA,0,7.895,0,NA,NA,NA,NA,NA,NA,NA,0.288,NA,NA,NA,NA,NA,2.571,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7.895,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,112002,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,308,"Country/Area",915,76.681,76.647,77.184,78.167,79.501,81.102,82.876,84.726,86.572,88.334,89.927,91.324,92.481,93.409,94.122,94.634,94.936,95.012,94.929,94.723,94.476,94.212,93.984,93.661,93.19,92.494,91.469,90.219,89.104,88.603,89.032,90.61,93.132,96.02,98.472,99.953,100.183,99.425,98.126,96.932,96.328,96.462,97.161,98.234,99.345,100.286,101.003,101.567,102.023,102.429,102.837,103.242,103.636,104.003,104.346,104.658,104.938,105.183,105.457,105.787,106.227,106.786,107.452,108.172,108.9,109.603,110.263,110.874,111.449,112.002,112.519
